date,purchases,unique_invoices,unique_users,unique_streams,total_views,year_month,revenue
2017-11-01,0,0,0,0,0,2017-11,0.0
2017-11-02,0,0,0,0,0,2017-11,0.0
2017-11-03,0,0,0,0,0,2017-11,0.0
2017-11-04,0,0,0,0,0,2017-11,0.0
2017-11-05,0,0,0,0,0,2017-11,0.0
2017-11-06,0,0,0,0,0,2017-11,0.0
2017-11-07,0,0,0,0,0,2017-11,0.0
2017-11-08,0,0,0,0,0,2017-11,0.0
2017-11-09,0,0,0,0,0,2017-11,0.0
2017-11-10,0,0,0,0,0,2017-11,0.0
2017-11-11,0,0,0,0,0,2017-11,0.0
2017-11-12,0,0,0,0,0,2017-11,0.0
2017-11-13,0,0,0,0,0,2017-11,0.0
2017-11-14,0,0,0,0,0,2017-11,0.0
2017-11-15,0,0,0,0,0,2017-11,0.0
2017-11-16,0,0,0,0,0,2017-11,0.0
2017-11-17,0,0,0,0,0,2017-11,0.0
2017-11-18,0,0,0,0,0,2017-11,0.0
2017-11-19,0,0,0,0,0,2017-11,0.0
2017-11-20,0,0,0,0,0,2017-11,0.0
2017-11-21,0,0,0,0,0,2017-11,0.0
2017-11-22,0,0,0,0,0,2017-11,0.0
2017-11-23,0,0,0,0,0,2017-11,0.0
2017-11-24,0,0,0,0,0,2017-11,0.0
2017-11-25,0,0,0,0,0,2017-11,0.0
2017-11-26,0,0,0,0,0,2017-11,0.0
2017-11-27,0,0,0,0,0,2017-11,0.0
2017-11-28,3223,166,1033,1345,15047,2017-11,14450.54
2017-11-29,3277,133,1070,1397,14159,2017-11,13411.96
2017-11-30,3002,150,709,1335,15766,2017-11,13290.25
2017-12-01,2559,107,676,1256,12524,2017-12,9687.28
2017-12-02,402,32,28,287,3313,2017-12,1443.2600000000002
2017-12-03,1942,90,74,977,8544,2017-12,6432.9400000000005
2017-12-04,2869,123,1164,1354,12751,2017-12,13137.5
2017-12-05,2440,170,595,1196,12604,2017-12,9467.009999999998
2017-12-06,2470,114,1107,1308,10510,2017-12,11268.54
2017-12-07,2492,123,608,1229,11985,2017-12,10976.6
2017-12-08,1542,121,111,876,7922,2017-12,4898.320000000001
2017-12-09,0,0,0,0,0,2017-12,0.0
2017-12-10,1776,77,96,980,8521,2017-12,4982.87
2017-12-11,4117,122,2226,1596,17017,2017-12,19866.98
2017-12-12,2004,123,489,1031,11127,2017-12,10012.130000000001
2017-12-13,3216,106,1554,1421,14280,2017-12,15879.660000000002
2017-12-14,1965,162,344,1067,9505,2017-12,7701.580000000001
2017-12-15,2057,84,982,1123,8973,2017-12,10970.560000000001
2017-12-16,0,0,0,0,0,2017-12,0.0
2017-12-17,637,40,40,468,4013,2017-12,1964.79
2017-12-18,645,52,215,467,3212,2017-12,2846.58
2017-12-19,2053,203,1742,1146,5218,2017-12,13350.1
2017-12-20,540,32,205,377,3028,2017-12,2268.31
2017-12-21,0,0,0,0,0,2017-12,0.0
2017-12-22,0,0,0,0,0,2017-12,0.0
2017-12-23,0,0,0,0,0,2017-12,0.0
2017-12-24,0,0,0,0,0,2017-12,0.0
2017-12-25,0,0,0,0,0,2017-12,0.0
2017-12-26,0,0,0,0,0,2017-12,0.0
2017-12-27,0,0,0,0,0,2017-12,0.0
2017-12-28,0,0,0,0,0,2017-12,0.0
2017-12-29,0,0,0,0,0,2017-12,0.0
2017-12-30,0,0,0,0,0,2017-12,0.0
2017-12-31,0,0,0,0,0,2017-12,0.0
2018-01-01,668,70,64,521,3005,2018-01,1966.5500000000002
2018-01-02,938,46,48,634,5603,2018-01,3061.2700000000004
2018-01-03,294,14,14,250,1994,2018-01,965.8500000000001
2018-01-04,1065,87,89,695,8499,2018-01,3373.16
2018-01-05,719,49,45,505,5463,2018-01,4979.93
2018-01-06,0,0,0,0,0,2018-01,0.0
2018-01-07,704,37,43,489,4702,2018-01,2080.1000000000004
2018-01-08,2688,74,2188,1082,8682,2018-01,14429.4
2018-01-09,1107,65,302,775,5678,2018-01,3799.58
2018-01-10,1644,64,1149,927,5706,2018-01,11600.810000000001
2018-01-11,2230,87,939,1062,9615,2018-01,12228.630000000001
2018-01-12,662,53,49,441,4534,2018-01,2084.96
2018-01-13,0,0,0,0,0,2018-01,0.0
2018-01-14,1116,41,36,684,5700,2018-01,3438.3100000000004
2018-01-15,1908,50,1087,1008,6112,2018-01,8908.33
2018-01-16,1859,51,771,1068,8924,2018-01,7847.691000000001
2018-01-17,1224,80,444,810,5168,2018-01,7021.91
2018-01-18,1228,88,79,780,7288,2018-01,3854.6
2018-01-19,1520,77,612,888,8369,2018-01,9419.019999999999
2018-01-20,0,0,0,0,0,2018-01,0.0
2018-01-21,1271,52,71,706,5892,2018-01,4022.23
2018-01-22,1699,72,492,920,7689,2018-01,7017.8099999999995
2018-01-23,1588,168,454,853,8009,2018-01,15461.13
2018-01-24,1560,85,578,887,7649,2018-01,6385.550000000001
2018-01-25,1254,83,159,752,7821,2018-01,3804.1400000000003
2018-01-26,1209,82,433,718,6193,2018-01,23966.841
2018-01-27,0,0,0,0,0,2018-01,0.0
2018-01-28,1400,58,77,796,7490,2018-01,3953.5600000000004
2018-01-29,1399,82,481,841,6337,2018-01,7421.111000000001
2018-01-30,1177,60,109,744,7143,2018-01,4616.53
2018-01-31,1551,150,650,949,7229,2018-01,5971.391
2018-02-01,1590,143,134,894,8239,2018-02,4837.9
2018-02-02,1077,147,421,710,5556,2018-02,4328.16
2018-02-03,0,0,0,0,0,2018-02,0.0
2018-02-04,844,35,33,558,3803,2018-02,2310.46
2018-02-05,1373,75,532,789,6617,2018-02,6838.370000000001
2018-02-06,1058,58,210,670,6954,2018-02,3607.21
2018-02-07,884,38,396,627,2974,2018-02,4111.69
2018-02-08,871,101,94,554,4781,2018-02,2901.15
2018-02-09,824,75,247,612,4153,2018-02,3009.9700000000003
2018-02-10,0,0,0,0,0,2018-02,0.0
2018-02-11,1194,51,44,710,6478,2018-02,3554.9900000000002
2018-02-12,899,55,64,571,6991,2018-02,5680.741
2018-02-13,1950,109,629,1095,9178,2018-02,8022.73
2018-02-14,1050,64,70,676,6888,2018-02,3361.39
2018-02-15,1390,91,82,788,8389,2018-02,5028.67
2018-02-16,1634,64,949,923,5494,2018-02,7938.45
2018-02-17,0,0,0,0,0,2018-02,0.0
2018-02-18,981,60,50,616,4351,2018-02,3367.1310000000003
2018-02-19,1156,86,80,695,8322,2018-02,3731.4900000000002
2018-02-20,1214,88,239,768,6589,2018-02,4217.9400000000005
2018-02-21,1390,123,373,836,6950,2018-02,5192.741
2018-02-22,1561,91,238,870,9503,2018-02,5217.1
2018-02-23,1028,65,418,704,4703,2018-02,7546.4310000000005
2018-02-24,0,0,0,0,0,2018-02,0.0
2018-02-25,1293,58,50,739,5616,2018-02,3960.79
2018-02-26,1230,97,255,804,7039,2018-02,4471.6
2018-02-27,1619,137,600,976,7563,2018-02,6904.3099999999995
2018-02-28,1763,84,294,1024,10398,2018-02,6203.96
2018-03-01,1937,102,336,1009,11677,2018-03,7608.820000000001
2018-03-02,1269,86,278,772,6456,2018-03,5063.21
2018-03-03,0,0,0,0,0,2018-03,0.0
2018-03-04,1802,67,79,1083,8424,2018-03,6232.91
2018-03-05,1972,109,1076,1068,8910,2018-03,9686.83
2018-03-06,1254,105,319,784,7080,2018-03,6752.68
2018-03-07,1607,84,501,934,8572,2018-03,6373.610000000001
2018-03-08,1319,76,339,858,6657,2018-03,5420.860000000001
2018-03-09,932,54,313,661,5351,2018-03,3744.0899999999997
2018-03-10,0,0,0,0,0,2018-03,0.0
2018-03-11,669,25,22,447,2964,2018-03,1817.5800000000002
2018-03-12,1690,82,695,979,7051,2018-03,7573.530999999999
2018-03-13,1396,94,371,831,7229,2018-03,5195.9
2018-03-14,1293,56,217,778,7873,2018-03,4263.5
2018-03-15,1591,97,274,847,9830,2018-03,6450.72
2018-03-16,1408,92,300,757,7221,2018-03,48929.07
