date,purchases,unique_invoices,unique_users,unique_streams,total_views,year_month,revenue
2017-11-01,0,0,0,0,0,2017-11,0.0
2017-11-02,0,0,0,0,0,2017-11,0.0
2017-11-03,0,0,0,0,0,2017-11,0.0
2017-11-04,0,0,0,0,0,2017-11,0.0
2017-11-05,0,0,0,0,0,2017-11,0.0
2017-11-06,0,0,0,0,0,2017-11,0.0
2017-11-07,0,0,0,0,0,2017-11,0.0
2017-11-08,0,0,0,0,0,2017-11,0.0
2017-11-09,0,0,0,0,0,2017-11,0.0
2017-11-10,0,0,0,0,0,2017-11,0.0
2017-11-11,0,0,0,0,0,2017-11,0.0
2017-11-12,0,0,0,0,0,2017-11,0.0
2017-11-13,0,0,0,0,0,2017-11,0.0
2017-11-14,0,0,0,0,0,2017-11,0.0
2017-11-15,0,0,0,0,0,2017-11,0.0
2017-11-16,0,0,0,0,0,2017-11,0.0
2017-11-17,0,0,0,0,0,2017-11,0.0
2017-11-18,0,0,0,0,0,2017-11,0.0
2017-11-19,0,0,0,0,0,2017-11,0.0
2017-11-20,0,0,0,0,0,2017-11,0.0
2017-11-21,0,0,0,0,0,2017-11,0.0
2017-11-22,0,0,0,0,0,2017-11,0.0
2017-11-23,0,0,0,0,0,2017-11,0.0
2017-11-24,0,0,0,0,0,2017-11,0.0
2017-11-25,0,0,0,0,0,2017-11,0.0
2017-11-26,0,0,0,0,0,2017-11,0.0
2017-11-27,0,0,0,0,0,2017-11,0.0
2017-11-28,2953,154,1023,1291,12922,2017-11,13281.119999999999
2017-11-29,3217,125,1062,1389,13650,2017-11,13222.970000000001
2017-11-30,2911,144,703,1318,15243,2017-11,12941.5
2017-12-01,2443,100,670,1221,11652,2017-12,9163.07
2017-12-02,370,31,27,263,3101,2017-12,1263.2800000000002
2017-12-03,1888,87,71,964,8096,2017-12,6229.110000000001
2017-12-04,2684,110,1152,1301,11202,2017-12,12189.79
2017-12-05,2283,157,586,1151,11906,2017-12,8892.27
2017-12-06,2423,108,1103,1292,10071,2017-12,10886.99
2017-12-07,2403,116,603,1192,11572,2017-12,10651.380000000001
2017-12-08,1535,117,108,875,7902,2017-12,4864.07
2017-12-09,0,0,0,0,0,2017-12,0.0
2017-12-10,1678,71,77,935,7685,2017-12,4568.200000000001
2017-12-11,3851,113,2221,1568,14845,2017-12,19097.670000000002
2017-12-12,1896,119,486,1000,10331,2017-12,9518.670000000002
2017-12-13,3137,101,1550,1409,13689,2017-12,15610.169999999998
2017-12-14,1944,157,340,1062,9346,2017-12,6003.74
2017-12-15,1732,71,914,1011,6557,2017-12,9560.02
2017-12-16,0,0,0,0,0,2017-12,0.0
2017-12-17,573,37,37,418,3381,2017-12,1811.51
2017-12-18,576,49,212,427,2473,2017-12,2650.71
2017-12-19,2032,202,1741,1136,5056,2017-12,13254.54
2017-12-20,328,29,203,286,1089,2017-12,1580.29
2017-12-21,0,0,0,0,0,2017-12,0.0
2017-12-22,0,0,0,0,0,2017-12,0.0
2017-12-23,0,0,0,0,0,2017-12,0.0
2017-12-24,0,0,0,0,0,2017-12,0.0
2017-12-25,0,0,0,0,0,2017-12,0.0
2017-12-26,0,0,0,0,0,2017-12,0.0
2017-12-27,0,0,0,0,0,2017-12,0.0
2017-12-28,0,0,0,0,0,2017-12,0.0
2017-12-29,0,0,0,0,0,2017-12,0.0
2017-12-30,0,0,0,0,0,2017-12,0.0
2017-12-31,0,0,0,0,0,2017-12,0.0
2018-01-01,663,68,62,520,2993,2018-01,1936.26
2018-01-02,938,46,48,634,5603,2018-01,3061.2700000000004
2018-01-03,294,14,14,250,1994,2018-01,965.8500000000001
2018-01-04,846,78,83,586,6108,2018-01,2777.0200000000004
2018-01-05,533,41,39,380,3793,2018-01,1893.67
2018-01-06,0,0,0,0,0,2018-01,0.0
2018-01-07,676,36,42,475,4464,2018-01,1969.56
2018-01-08,2605,63,2180,1057,7931,2018-01,12781.810000000001
2018-01-09,1017,60,298,730,4806,2018-01,3535.13
2018-01-10,1552,51,1140,892,5034,2018-01,7670.260000000001
2018-01-11,2141,83,935,1022,8905,2018-01,11974.44
2018-01-12,554,45,42,375,3715,2018-01,1699.27
2018-01-13,0,0,0,0,0,2018-01,0.0
2018-01-14,1116,41,36,684,5700,2018-01,3438.3100000000004
2018-01-15,1879,48,1085,993,5934,2018-01,8679.83
2018-01-16,1639,44,765,990,7538,2018-01,7036.981000000001
2018-01-17,1207,74,441,809,5001,2018-01,4729.54
2018-01-18,1095,85,76,712,5824,2018-01,3402.0600000000004
2018-01-19,1186,66,606,766,5568,2018-01,5207.34
2018-01-20,0,0,0,0,0,2018-01,0.0
2018-01-21,1231,51,70,685,5560,2018-01,3918.16
2018-01-22,1650,69,489,905,7339,2018-01,6752.71
2018-01-23,1345,124,423,783,5821,2018-01,12331.51
2018-01-24,1443,82,575,835,6878,2018-01,6081.759999999999
2018-01-25,1182,78,154,724,7277,2018-01,3580.92
2018-01-26,1207,81,432,717,6180,2018-01,23937.591
2018-01-27,0,0,0,0,0,2018-01,0.0
2018-01-28,1244,53,73,723,6146,2018-01,3462.62
2018-01-29,1258,71,475,795,5185,2018-01,5286.951000000001
2018-01-30,1040,53,49,670,5982,2018-01,2957.9
2018-01-31,1442,143,645,899,6276,2018-01,5672.791
2018-02-01,1551,139,131,878,7915,2018-02,4645.719999999999
2018-02-02,1030,145,419,686,5383,2018-02,4173.33
2018-02-03,0,0,0,0,0,2018-02,0.0
2018-02-04,742,31,29,517,2761,2018-02,2059.98
2018-02-05,1204,64,442,738,5245,2018-02,4642.32
2018-02-06,784,47,199,543,4454,2018-02,2815.79
2018-02-07,861,35,393,617,2764,2018-02,3983.16
2018-02-08,766,92,85,504,3959,2018-02,2480.8100000000004
2018-02-09,757,70,243,583,3570,2018-02,2792.81
2018-02-10,0,0,0,0,0,2018-02,0.0
2018-02-11,1157,49,42,698,6119,2018-02,3437.55
2018-02-12,710,46,58,459,5475,2018-02,2084.441
2018-02-13,1879,105,626,1073,8774,2018-02,7831.6
2018-02-14,945,58,66,618,5964,2018-02,2971.89
2018-02-15,1319,84,78,765,7601,2018-02,3905.0300000000007
2018-02-16,1634,64,949,923,5494,2018-02,7938.45
2018-02-17,0,0,0,0,0,2018-02,0.0
2018-02-18,931,58,48,598,3924,2018-02,3171.4010000000003
2018-02-19,1070,79,73,668,7473,2018-02,3491.9900000000002
2018-02-20,1092,75,231,721,5877,2018-02,3843.94
2018-02-21,1201,113,370,775,5321,2018-02,4674.941
2018-02-22,1531,88,235,861,9235,2018-02,5088.37
2018-02-23,999,61,417,695,4627,2018-02,7474.591
2018-02-24,0,0,0,0,0,2018-02,0.0
2018-02-25,1251,55,47,726,5318,2018-02,3800.09
2018-02-26,1162,93,251,775,6374,2018-02,4292.2
2018-02-27,1480,129,593,927,6471,2018-02,6257.64
2018-02-28,1597,71,285,962,8869,2018-02,5528.22
2018-03-01,1801,95,330,971,10659,2018-03,7018.01
2018-03-02,1133,77,270,705,5336,2018-03,4574.2
2018-03-03,0,0,0,0,0,2018-03,0.0
2018-03-04,1675,65,77,1028,7347,2018-03,5884.59
2018-03-05,1866,100,1067,1036,8016,2018-03,9343.65
2018-03-06,1153,97,311,749,6259,2018-03,6179.93
2018-03-07,1525,77,496,909,7997,2018-03,5986.6
2018-03-08,1295,75,338,855,6396,2018-03,5351.3099999999995
2018-03-09,821,46,307,612,4337,2018-03,3330.48
2018-03-10,0,0,0,0,0,2018-03,0.0
2018-03-11,640,24,21,436,2621,2018-03,1763.77
2018-03-12,1550,73,688,933,5966,2018-03,7081.801
2018-03-13,1335,86,365,808,6804,2018-03,5005.5
2018-03-14,1226,52,213,749,7133,2018-03,4041.67
2018-03-15,1401,91,236,790,8140,2018-03,5826.54
2018-03-16,1288,82,264,715,6393,2018-03,13837.490000000002
2018-03-17,0,0,0,0,0,2018-03,0.0
2018-03-18,1367,62,54,791,6689,2018-03,3901.4700000000003
